Ortsteil,ParkCount
Adlershof,6
Altglienicke,34
Alt-Hohenschönhausen,36
Alt-Treptow,16
Baumschulenweg,12
Biesdorf,36
Blankenburg,18
Blankenfelde,16
Bohnsdorf,4
Borsigwalde,3
Britz,41
Buch,19
Buckow,18
Charlottenburg,42
Charlottenburg-Nord,24
Dahlem,19
Falkenberg,22
Falkenhagener Feld,19
Fennpfuhl,18
Französisch Buchholz,29
Friedenau,4
Friedrichsfelde,59
Friedrichshagen,19
Friedrichshain,114
Frohnau,30
Gatow,35
Gesundbrunnen,18
Gropiusstadt,1
Grünau,6
Grunewald,22
Hakenfelde,36
Halensee,2
Hansaviertel,12
Haselhorst,19
Heiligensee,22
Heinersdorf,5
Hellersdorf,63
Hermsdorf,13
Johannisthal,19
Karlshorst,22
Karow,23
Kaulsdorf,16
Kladow,35
Konradshöhe,4
Köpenick,47
Kreuzberg,93
Lankwitz,25
Lichtenberg,50
Lichtenrade,22
Lichterfelde,37
Lübars,11
Mahlsdorf,28
Malchow,19
Mariendorf,29
Marienfelde,22
Märkisches Viertel,9
Marzahn,112
Mitte,100
Moabit,43
Müggelheim,2
Neu-Hohenschönhausen,40
Neukölln,37
Niederschöneweide,5
Niederschönhausen,19
Nikolassee,14
Oberschöneweide,16
Pankow,24
Plänterwald,7
Prenzlauer Berg,78
Rahnsdorf,8
Reinickendorf,36
Rosenthal,6
Rudow,29
Rummelsburg,19
Schmargendorf,12
Schmöckwitz,4
Schöneberg,29
Siemensstadt,6
Spandau,47
Staaken,28
Stadtrandsiedlung Malchow,12
Steglitz,37
Tegel,40
Tempelhof,31
Tiergarten,35
Waidmannslust,9
Wannsee,14
Wartenberg,29
Wedding,49
Weißensee,24
Westend,34
Wilhelmsruh,3
Wilhelmstadt,19
Wilmersdorf,23
Wittenau,15
Zehlendorf,43



