Ortsteil,Schulen
Adlershof,5
Altglienicke,5
Alt-Hohenschönhausen,12
Alt-Treptow,6
Baumschulenweg,4
Biesdorf,7
Blankenburg,1
Blankenfelde,2
Bohnsdorf,2
Borsigwalde,5
Britz,22
Buch,11
Buckow,10
Charlottenburg,50
Charlottenburg-Nord,12
Dahlem,12
Falkenberg,1
Falkenhagener Feld,6
Fennpfuhl,16
Französisch Buchholz,10
Friedenau,7
Friedrichsfelde,18
Friedrichshagen,6
Friedrichshain,17
Frohnau,3
Gatow,6
Gesundbrunnen,9
Gropiusstadt,9
Grünau,2
Grunewald,4
Hakenfelde,8
Halensee,3
Hansaviertel,2
Haselhorst,4
Heiligensee,5
Heinersdorf,2
Hellersdorf,16
Hermsdorf,8
Johannisthal,3
Karlshorst,7
Karow,9
Kaulsdorf,12
Kladow,7
Konradshöhe,1
Köpenick,23
Kreuzberg,36
Lankwitz,8
Lichtenberg,23
Lichtenrade,8
Lichterfelde,26
Lübars,1
Mahlsdorf,6
Malchow,4
Mariendorf,6
Marienfelde,8
Märkisches Viertel,13
Marzahn,26
Mitte,35
Moabit,18
Müggelheim,1
Neu-Hohenschönhausen,4
Neukölln,35
Niederschöneweide,6
Niederschönhausen,4
Nikolassee,10
Oberschöneweide,9
Pankow,21
Plänterwald,4
Prenzlauer Berg,47
Rahnsdorf,1
Reinickendorf,19
Rosenthal,3
Rudow,6
Rummelsburg,7
Schmargendorf,9
Schmöckwitz,2
Schöneberg,42
Siemensstadt,5
Spandau,22
Staaken,14
Stadtrandsiedlung Malchow,6
Steglitz,15
Tegel,18
Tempelhof,5
Tiergarten,11
Waidmannslust,5
Wannsee,5
Wartenberg,2
Wedding,35
Weißensee,11
Westend,1
Wilhelmsruh,2
Wilhelmstadt,9
Wilmersdorf,35
Wittenau,18
Zehlendorf,5
